message_id,channel_name,detected_class,confidence_score,image_category
33,cheMed123,orange,0.6712219715118408,other
33,cheMed123,orange,0.5760763883590698,other
33,cheMed123,book,0.27159208059310913,other
39,cheMed123,mouse,0.9113694429397583,other
39,cheMed123,mouse,0.9018736481666565,other
39,cheMed123,mouse,0.8929605484008789,other
39,cheMed123,mouse,0.6237646341323853,other
39,cheMed123,mouse,0.5940196514129639,other
39,cheMed123,mouse,0.554678201675415,other
39,cheMed123,mouse,0.5261461734771729,other
39,cheMed123,mouse,0.41445040702819824,other
40,cheMed123,person,0.7191462516784668,lifestyle
40,cheMed123,person,0.6743712425231934,lifestyle
40,cheMed123,person,0.6338382363319397,lifestyle
40,cheMed123,person,0.5978040099143982,lifestyle
40,cheMed123,person,0.5868248343467712,lifestyle
40,cheMed123,person,0.5125858783721924,lifestyle
40,cheMed123,person,0.4520762860774994,lifestyle
40,cheMed123,person,0.4369911551475525,lifestyle
40,cheMed123,person,0.33164843916893005,lifestyle
40,cheMed123,person,0.3312699496746063,lifestyle
41,cheMed123,person,0.42103567719459534,lifestyle
43,cheMed123,person,0.8564761281013489,lifestyle
43,cheMed123,chair,0.2936428189277649,lifestyle
44,cheMed123,cell phone,0.9386716485023499,lifestyle
44,cheMed123,person,0.8479924201965332,lifestyle
45,cheMed123,scissors,0.6319929361343384,other
46,cheMed123,person,0.8272139430046082,lifestyle
46,cheMed123,person,0.4748825132846832,lifestyle
46,cheMed123,tv,0.38863810896873474,lifestyle
49,cheMed123,kite,0.680148720741272,other
49,cheMed123,kite,0.403300940990448,other
49,cheMed123,kite,0.34492722153663635,other
49,cheMed123,frisbee,0.32522013783454895,other
50,cheMed123,cake,0.29160821437835693,other
52,cheMed123,person,0.703929603099823,lifestyle
52,cheMed123,person,0.6460770964622498,lifestyle
52,cheMed123,horse,0.6252764463424683,lifestyle
52,cheMed123,person,0.5130637884140015,lifestyle
52,cheMed123,person,0.4309829771518707,lifestyle
52,cheMed123,person,0.3347775936126709,lifestyle
53,cheMed123,person,0.5737687945365906,lifestyle
55,cheMed123,stop sign,0.30712857842445374,other
56,cheMed123,person,0.8329591155052185,lifestyle
58,cheMed123,bottle,0.4115246534347534,product_display
59,cheMed123,bottle,0.28661373257637024,product_display
64,cheMed123,person,0.686455488204956,lifestyle
64,cheMed123,person,0.4401918649673462,lifestyle
64,cheMed123,banana,0.2809351086616516,lifestyle
64,cheMed123,remote,0.25620242953300476,lifestyle
67,cheMed123,stop sign,0.5792275071144104,other
67,cheMed123,book,0.28416216373443604,other
70,cheMed123,potted plant,0.9247002601623535,lifestyle
70,cheMed123,person,0.8443223237991333,lifestyle
70,cheMed123,book,0.422650545835495,lifestyle
71,cheMed123,person,0.8835616707801819,lifestyle
71,cheMed123,person,0.8042727112770081,lifestyle
75,cheMed123,person,0.8353007435798645,lifestyle
76,cheMed123,person,0.8694232106208801,lifestyle
76,cheMed123,chair,0.27233031392097473,lifestyle
76,cheMed123,chair,0.25177380442619324,lifestyle
77,cheMed123,bottle,0.9558238387107849,product_display
77,cheMed123,bottle,0.9073089957237244,product_display
77,cheMed123,bottle,0.8960540294647217,product_display
77,cheMed123,bottle,0.8936647176742554,product_display
78,cheMed123,person,0.7698578238487244,lifestyle
78,cheMed123,person,0.3555848002433777,lifestyle
80,cheMed123,person,0.9279417395591736,promotional
80,cheMed123,bottle,0.7433295845985413,promotional
80,cheMed123,chair,0.5636415481567383,promotional
81,cheMed123,bottle,0.8817968368530273,product_display
81,cheMed123,bottle,0.8326680064201355,product_display
81,cheMed123,bottle,0.8216720223426819,product_display
81,cheMed123,bottle,0.8041245341300964,product_display
81,cheMed123,bottle,0.7617481350898743,product_display
82,cheMed123,bottle,0.8991736173629761,product_display
82,cheMed123,bottle,0.8424991965293884,product_display
82,cheMed123,bottle,0.7403754591941833,product_display
82,cheMed123,apple,0.47845423221588135,product_display
86,cheMed123,person,0.9013166427612305,lifestyle
86,cheMed123,refrigerator,0.3570441007614136,lifestyle
87,cheMed123,parking meter,0.27856287360191345,other
90,cheMed123,book,0.3077998459339142,other
93,cheMed123,person,0.9076732397079468,lifestyle
94,cheMed123,cup,0.7408687472343445,promotional
94,cheMed123,person,0.4758458137512207,promotional
94,cheMed123,cup,0.38559672236442566,promotional
95,cheMed123,person,0.8684403896331787,lifestyle
95,cheMed123,person,0.491816908121109,lifestyle
96,cheMed123,cup,0.3260025680065155,product_display
22897,lobelia4cosmetics,bottle,0.8551760315895081,product_display
22897,lobelia4cosmetics,bottle,0.7980884313583374,product_display
22897,lobelia4cosmetics,bottle,0.7762734293937683,product_display
22897,lobelia4cosmetics,bottle,0.6700868010520935,product_display
22897,lobelia4cosmetics,bottle,0.6243582963943481,product_display
22897,lobelia4cosmetics,bottle,0.570136308670044,product_display
22898,lobelia4cosmetics,suitcase,0.32225167751312256,other
22899,lobelia4cosmetics,oven,0.2530425786972046,other
22901,lobelia4cosmetics,bottle,0.5191150903701782,product_display
22904,lobelia4cosmetics,bottle,0.5879673361778259,product_display
22904,lobelia4cosmetics,bottle,0.3194343149662018,product_display
22907,lobelia4cosmetics,refrigerator,0.4816809594631195,other
22908,lobelia4cosmetics,orange,0.6904149055480957,product_display
22908,lobelia4cosmetics,orange,0.5979161262512207,product_display
22908,lobelia4cosmetics,apple,0.34246936440467834,product_display
22908,lobelia4cosmetics,cup,0.27169761061668396,product_display
22909,lobelia4cosmetics,parking meter,0.25547221302986145,other
22911,lobelia4cosmetics,bottle,0.5707804560661316,product_display
22914,lobelia4cosmetics,bottle,0.5016947984695435,product_display
22915,lobelia4cosmetics,cell phone,0.319581001996994,other
22916,lobelia4cosmetics,person,0.6241406798362732,lifestyle
22916,lobelia4cosmetics,surfboard,0.3663432002067566,lifestyle
22917,lobelia4cosmetics,person,0.6789191961288452,lifestyle
22917,lobelia4cosmetics,stop sign,0.2718685567378998,lifestyle
22918,lobelia4cosmetics,clock,0.2700807750225067,other
22919,lobelia4cosmetics,cake,0.5485906600952148,other
22920,lobelia4cosmetics,bottle,0.901940643787384,product_display
22921,lobelia4cosmetics,bottle,0.8162497282028198,product_display
22921,lobelia4cosmetics,bottle,0.46338680386543274,product_display
22922,lobelia4cosmetics,bottle,0.3507419526576996,product_display
22928,lobelia4cosmetics,bottle,0.8699759244918823,product_display
22929,lobelia4cosmetics,bottle,0.4841194152832031,product_display
22929,lobelia4cosmetics,dining table,0.29485929012298584,product_display
22930,lobelia4cosmetics,parking meter,0.25547221302986145,other
22931,lobelia4cosmetics,person,0.6241406798362732,lifestyle
22931,lobelia4cosmetics,surfboard,0.3663432002067566,lifestyle
22934,lobelia4cosmetics,bottle,0.5879673361778259,product_display
22934,lobelia4cosmetics,bottle,0.3194343149662018,product_display
22936,lobelia4cosmetics,refrigerator,0.4816809594631195,other
22937,lobelia4cosmetics,orange,0.6904149055480957,product_display
22937,lobelia4cosmetics,orange,0.5979161262512207,product_display
22937,lobelia4cosmetics,apple,0.34246936440467834,product_display
22937,lobelia4cosmetics,cup,0.27169761061668396,product_display
22939,lobelia4cosmetics,clock,0.2700807750225067,other
22940,lobelia4cosmetics,bottle,0.4220961928367615,product_display
22940,lobelia4cosmetics,apple,0.3085286021232605,product_display
22940,lobelia4cosmetics,apple,0.2822919487953186,product_display
22941,lobelia4cosmetics,bottle,0.9329293966293335,product_display
22942,lobelia4cosmetics,bottle,0.901940643787384,product_display
22943,lobelia4cosmetics,bottle,0.8162497282028198,product_display
22943,lobelia4cosmetics,bottle,0.46338680386543274,product_display
22944,lobelia4cosmetics,bottle,0.3507419526576996,product_display
188962,tikvahpharma,bottle,0.7155637145042419,product_display
188962,tikvahpharma,bottle,0.5736793279647827,product_display
188962,tikvahpharma,bottle,0.5660500526428223,product_display
188962,tikvahpharma,refrigerator,0.5293628573417664,product_display
188962,tikvahpharma,bottle,0.5242186784744263,product_display
188962,tikvahpharma,bottle,0.5141342878341675,product_display
188962,tikvahpharma,bottle,0.44597530364990234,product_display
188962,tikvahpharma,bottle,0.4349461495876312,product_display
188962,tikvahpharma,bottle,0.4073099195957184,product_display
188962,tikvahpharma,bottle,0.40629106760025024,product_display
188962,tikvahpharma,bottle,0.39240309596061707,product_display
188962,tikvahpharma,bottle,0.376412570476532,product_display
188962,tikvahpharma,bottle,0.3721877336502075,product_display
188962,tikvahpharma,bottle,0.3282669186592102,product_display
188962,tikvahpharma,bottle,0.3277134299278259,product_display
188962,tikvahpharma,bottle,0.3142871558666229,product_display
188962,tikvahpharma,bottle,0.3072512447834015,product_display
188962,tikvahpharma,bottle,0.301473468542099,product_display
188962,tikvahpharma,bottle,0.29639577865600586,product_display
188962,tikvahpharma,bottle,0.2871842682361603,product_display
188962,tikvahpharma,bottle,0.2816593647003174,product_display
188962,tikvahpharma,bottle,0.27292725443840027,product_display
188970,tikvahpharma,person,0.7788913249969482,lifestyle
188975,tikvahpharma,person,0.6697089672088623,lifestyle
188975,tikvahpharma,person,0.510040819644928,lifestyle
188975,tikvahpharma,person,0.48528340458869934,lifestyle
188975,tikvahpharma,person,0.40342339873313904,lifestyle
188975,tikvahpharma,person,0.2712820768356323,lifestyle
188979,tikvahpharma,person,0.3746543824672699,lifestyle
188981,tikvahpharma,bottle,0.4084913432598114,product_display
188981,tikvahpharma,refrigerator,0.3742721974849701,product_display
188981,tikvahpharma,bottle,0.30417072772979736,product_display
188981,tikvahpharma,bottle,0.2887226343154907,product_display
188982,tikvahpharma,bottle,0.8333321213722229,promotional
188982,tikvahpharma,bottle,0.7778472900390625,promotional
188982,tikvahpharma,bottle,0.741097629070282,promotional
188982,tikvahpharma,bottle,0.7006933093070984,promotional
188982,tikvahpharma,bottle,0.6669272184371948,promotional
188982,tikvahpharma,bottle,0.6542635560035706,promotional
188982,tikvahpharma,bottle,0.6196857690811157,promotional
188982,tikvahpharma,bottle,0.6128655672073364,promotional
188982,tikvahpharma,bottle,0.5711875557899475,promotional
188982,tikvahpharma,bottle,0.5673540830612183,promotional
188982,tikvahpharma,bottle,0.5544775724411011,promotional
188982,tikvahpharma,bottle,0.551550567150116,promotional
188982,tikvahpharma,bottle,0.5352649688720703,promotional
188982,tikvahpharma,bottle,0.4986155331134796,promotional
188982,tikvahpharma,bottle,0.48079603910446167,promotional
188982,tikvahpharma,bottle,0.47927126288414,promotional
188982,tikvahpharma,bottle,0.46493756771087646,promotional
188982,tikvahpharma,bottle,0.45984145998954773,promotional
188982,tikvahpharma,bottle,0.456533819437027,promotional
188982,tikvahpharma,bottle,0.44480398297309875,promotional
188982,tikvahpharma,bottle,0.4376051127910614,promotional
188982,tikvahpharma,bottle,0.43538302183151245,promotional
188982,tikvahpharma,bottle,0.4130081236362457,promotional
188982,tikvahpharma,bottle,0.401594877243042,promotional
188982,tikvahpharma,bottle,0.4003194570541382,promotional
188982,tikvahpharma,person,0.3908693492412567,promotional
188982,tikvahpharma,bottle,0.3813214898109436,promotional
188982,tikvahpharma,bottle,0.37953153252601624,promotional
188982,tikvahpharma,bottle,0.35517120361328125,promotional
188982,tikvahpharma,bottle,0.34520620107650757,promotional
188982,tikvahpharma,bottle,0.3311704099178314,promotional
188982,tikvahpharma,bottle,0.3289528489112854,promotional
188982,tikvahpharma,bottle,0.3276765048503876,promotional
188982,tikvahpharma,bottle,0.3267696797847748,promotional
188982,tikvahpharma,bottle,0.32583802938461304,promotional
188982,tikvahpharma,bottle,0.3257533013820648,promotional
188982,tikvahpharma,bottle,0.3228628933429718,promotional
188982,tikvahpharma,bottle,0.3221875727176666,promotional
188982,tikvahpharma,bottle,0.32202887535095215,promotional
188982,tikvahpharma,bottle,0.3172920346260071,promotional
188982,tikvahpharma,bottle,0.31693175435066223,promotional
188982,tikvahpharma,bottle,0.3106895387172699,promotional
188982,tikvahpharma,bottle,0.29787594079971313,promotional
188982,tikvahpharma,bottle,0.28970351815223694,promotional
188982,tikvahpharma,bottle,0.28495198488235474,promotional
188982,tikvahpharma,bottle,0.2768431305885315,promotional
188982,tikvahpharma,bottle,0.27035465836524963,promotional
188982,tikvahpharma,person,0.26617830991744995,promotional
188982,tikvahpharma,bottle,0.25983530282974243,promotional
188982,tikvahpharma,bottle,0.25863116979599,promotional
188982,tikvahpharma,bottle,0.2512547969818115,promotional
188983,tikvahpharma,chair,0.42744553089141846,other
188985,tikvahpharma,refrigerator,0.9096156358718872,other
188986,tikvahpharma,refrigerator,0.34113478660583496,product_display
188986,tikvahpharma,bottle,0.2508198022842407,product_display
188990,tikvahpharma,book,0.28512051701545715,other
188991,tikvahpharma,book,0.5122951865196228,other
188991,tikvahpharma,book,0.5019031167030334,other
188991,tikvahpharma,laptop,0.45661094784736633,other
188991,tikvahpharma,book,0.3169262111186981,other
188991,tikvahpharma,book,0.2848551571369171,other
188991,tikvahpharma,book,0.2654646337032318,other
188993,tikvahpharma,bottle,0.7155637145042419,product_display
188993,tikvahpharma,bottle,0.5736793279647827,product_display
188993,tikvahpharma,bottle,0.5660500526428223,product_display
188993,tikvahpharma,refrigerator,0.5293628573417664,product_display
188993,tikvahpharma,bottle,0.5242186784744263,product_display
188993,tikvahpharma,bottle,0.5141342878341675,product_display
188993,tikvahpharma,bottle,0.44597530364990234,product_display
188993,tikvahpharma,bottle,0.4349461495876312,product_display
188993,tikvahpharma,bottle,0.4073099195957184,product_display
188993,tikvahpharma,bottle,0.40629106760025024,product_display
188993,tikvahpharma,bottle,0.39240309596061707,product_display
188993,tikvahpharma,bottle,0.376412570476532,product_display
188993,tikvahpharma,bottle,0.3721877336502075,product_display
188993,tikvahpharma,bottle,0.3282669186592102,product_display
188993,tikvahpharma,bottle,0.3277134299278259,product_display
188993,tikvahpharma,bottle,0.3142871558666229,product_display
188993,tikvahpharma,bottle,0.3072512447834015,product_display
188993,tikvahpharma,bottle,0.301473468542099,product_display
188993,tikvahpharma,bottle,0.29639577865600586,product_display
188993,tikvahpharma,bottle,0.2871842682361603,product_display
188993,tikvahpharma,bottle,0.2816593647003174,product_display
188993,tikvahpharma,bottle,0.27292725443840027,product_display
188997,tikvahpharma,person,0.4294895529747009,lifestyle
189002,tikvahpharma,person,0.824097752571106,lifestyle
189002,tikvahpharma,person,0.7669281363487244,lifestyle
189002,tikvahpharma,person,0.6868149042129517,lifestyle
189002,tikvahpharma,clock,0.6473547220230103,lifestyle
189003,tikvahpharma,clock,0.5962021350860596,other
189007,tikvahpharma,bottle,0.7155637145042419,product_display
189007,tikvahpharma,bottle,0.5736793279647827,product_display
189007,tikvahpharma,bottle,0.5660500526428223,product_display
189007,tikvahpharma,refrigerator,0.5293628573417664,product_display
189007,tikvahpharma,bottle,0.5242186784744263,product_display
189007,tikvahpharma,bottle,0.5141342878341675,product_display
189007,tikvahpharma,bottle,0.44597530364990234,product_display
189007,tikvahpharma,bottle,0.4349461495876312,product_display
189007,tikvahpharma,bottle,0.4073099195957184,product_display
189007,tikvahpharma,bottle,0.40629106760025024,product_display
189007,tikvahpharma,bottle,0.39240309596061707,product_display
